task_description,task_id,actual_points,predicted_points,absolute_error,relative_error,accuracy_category,fibonacci_compliant,original_user_story,error
Set up cloud.gov account and project space,CLD_001,3,3,0,0.0,error,True,"As a team member, I want to see the first iteration of beta up on cloud.gov...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Configure deployment pipeline,CLD_002,4,3,1,0.25,error,True,"As a team member, I want to see the first iteration of beta up on cloud.gov...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Deploy beta version to cloud.gov,CLD_003,3,3,0,0.0,error,True,"As a team member, I want to see the first iteration of beta up on cloud.gov...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Test deployment and verify functionality,CLD_004,2,3,1,0.5,error,True,"As a team member, I want to see the first iteration of beta up on cloud.gov...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Share access credentials with team members,CLD_005,1,3,2,2.0,error,True,"As a team member, I want to see the first iteration of beta up on cloud.gov...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Request subdomain creation through NSF IT,SUB_001,2,3,1,0.5,error,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Configure DNS settings for beta.nsf.gov,SUB_002,3,3,0,0.0,error,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Set up SSL certificate for subdomain,SUB_003,3,3,0,0.0,error,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Configure deployment pipeline to use subdomain,SUB_004,3,3,0,0.0,error,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Test subdomain accessibility and routing,SUB_005,2,3,1,0.5,error,True,"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta sit...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Research FISMA low requirements documentation,FIS_001,4,3,1,0.25,error,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Schedule meeting with cloud.gov support team,FIS_002,2,3,1,0.5,error,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Document current prototype configuration,FIS_003,3,3,0,0.0,error,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Create migration checklist and timeline,FIS_004,4,3,1,0.25,error,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Prepare compliance documentation,FIS_005,3,3,0,0.0,error,True,"As an NSF employee, I want to understand the process of switching the cloud.gov hosting plan over fr...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Schedule meeting with DIS and cloud.gov teams,ATO_001,2,3,1,0.5,error,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Prepare list of ATO-related questions,ATO_002,3,3,0,0.0,error,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Document ATO requirements and timeline,ATO_003,4,3,1,0.25,error,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Create compliance action plan,ATO_004,3,3,0,0.0,error,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Assign responsibility for ATO tasks,ATO_005,2,3,1,0.5,error,True,"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for ...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Evaluate current blog aggregator functionality,BLG_001,3,3,0,0.0,error,True,"As a stakeholder, I want to have a decision on whether or not the blog aggregator may work for beta,...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Test aggregator with NSF content requirements,BLG_002,4,3,1,0.25,error,True,"As a stakeholder, I want to have a decision on whether or not the blog aggregator may work for beta,...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Document pros and cons of aggregator approach,BLG_003,3,3,0,0.0,error,True,"As a stakeholder, I want to have a decision on whether or not the blog aggregator may work for beta,...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Research alternative blog solutions,BLG_004,3,3,0,0.0,error,True,"As a stakeholder, I want to have a decision on whether or not the blog aggregator may work for beta,...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Present recommendation with rationale,BLG_005,2,3,1,0.5,error,True,"As a stakeholder, I want to have a decision on whether or not the blog aggregator may work for beta,...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Design content search interface,CNT_001,3,3,0,0.0,error,True,"As a content editor, I want to be able to easily find content, so that I can edit it...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Implement content filtering and categorization,CNT_002,4,3,1,0.25,error,True,"As a content editor, I want to be able to easily find content, so that I can edit it...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Add content tagging system,CNT_003,3,3,0,0.0,error,True,"As a content editor, I want to be able to easily find content, so that I can edit it...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Create content organization hierarchy,CNT_004,2,3,1,0.5,error,True,"As a content editor, I want to be able to easily find content, so that I can edit it...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Add bulk content management tools,CNT_005,2,3,1,0.5,error,True,"As a content editor, I want to be able to easily find content, so that I can edit it...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Design video upload interface,VID_001,3,3,0,0.0,error,True,"As a user, I want to add a video to my article...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Integrate with video hosting service,VID_002,4,3,1,0.25,error,True,"As a user, I want to add a video to my article...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Add video embed functionality,VID_003,3,3,0,0.0,error,True,"As a user, I want to add a video to my article...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Implement video preview in editor,VID_004,2,3,1,0.5,error,True,"As a user, I want to add a video to my article...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Add video metadata management,VID_005,2,3,1,0.5,error,True,"As a user, I want to add a video to my article...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Integrate Brightcove API,BCO_001,4,3,1,0.25,error,True,"As a content editor, I want to be able to add videos from Brightcove...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Create Brightcove video browser interface,BCO_002,4,3,1,0.25,error,True,"As a content editor, I want to be able to add videos from Brightcove...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Add video selection and embed functionality,BCO_003,3,3,0,0.0,error,True,"As a content editor, I want to be able to add videos from Brightcove...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Implement video preview and metadata display,BCO_004,3,3,0,0.0,error,True,"As a content editor, I want to be able to add videos from Brightcove...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Add video management and organization tools,BCO_005,2,3,1,0.5,error,True,"As a content editor, I want to be able to add videos from Brightcove...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
Add indent/outdent buttons to editor toolbar,IND_001,2,3,1,0.5,error,True,"As an author, I want to be able to indent / outdent content...",'StoryPointEstimatorAgent' object has no attribute '_estimate_single_task'
